longitude latitude "negative depth"
-188.1140 53.6220 -100.0000
-187.9900 53.5690 -100.0000
-187.8660 53.5160 -100.0000
-187.7410 53.4640 -100.0000
-187.6160 53.4110 -100.0000
-187.4910 53.3590 -100.0000
-187.3660 53.3070 -100.0000
-187.2400 53.2560 -100.0000
-187.1050 53.2110 -100.0000
-186.9700 53.1660 -100.0000
-186.8340 53.1210 -100.0000
-186.6990 53.0770 -100.0000
-186.5620 53.0330 -100.0000
-186.4260 52.9900 -100.0000
-186.2890 52.9470 -100.0000
-186.1520 52.9040 -100.0000
-186.0140 52.8610 -100.0000
-185.8770 52.8190 -100.0000
-185.7390 52.7770 -100.0000
-185.6000 52.7360 -100.0000
-185.4610 52.6940 -100.0000
-185.3220 52.6540 -100.0000
-185.1830 52.6130 -100.0000
-185.0420 52.5780 -100.0000
-184.9000 52.5440 -100.0000
-184.7580 52.5100 -100.0000
-184.6160 52.4760 -100.0000
-184.4740 52.4430 -100.0000
-184.3310 52.4090 -100.0000
-184.1890 52.3760 -100.0000
-184.0460 52.3440 -100.0000
-183.9030 52.3110 -100.0000
-183.7600 52.2790 -100.0000
-183.6160 52.2470 -100.0000
-183.4730 52.2150 -100.0000
-183.3300 52.1830 -100.0000
-183.1860 52.1510 -100.0000
-183.0510 52.1220 -100.0000
-182.9160 52.0920 -100.0000
-182.7810 52.0630 -100.0000
-182.6450 52.0340 -100.0000
-182.5100 52.0060 -100.0000
-182.3740 51.9780 -100.0000
-182.2380 51.9500 -100.0000
-182.1010 51.9230 -100.0000
-181.9650 51.8960 -100.0000
-181.8270 51.8700 -100.0000
-181.6900 51.8440 -100.0000
-181.5350 51.8250 -100.0000
-181.3800 51.8060 -100.0000
-181.2250 51.7890 -100.0000
-181.0700 51.7720 -100.0000
-180.9140 51.7560 -100.0000
-180.7580 51.7420 -100.0000
-180.6020 51.7280 -100.0000
-180.4450 51.7160 -100.0000
-180.2880 51.7040 -100.0000
-180.1410 51.7050 -100.0000
-179.9940 51.7060 -100.0000
-179.8470 51.7090 -100.0000
-179.7000 51.7120 -100.0000
-179.5530 51.7160 -100.0000
-179.4060 51.7210 -100.0000
