Longitude Latitude "negative depth"
-150.4331  62.0287  -49.0200
-149.6788  62.2961  -60.0800
-150.7558  60.6901  -45.9200
-152.0673  60.6556  -79.1600
-153.1604  60.1931 -121.6400
-153.5059  60.1109 -153.4300
-152.7911  59.7666  -88.9600
-147.8726  63.6845  -84.6100
-152.5699  61.0071 -109.9200
-150.7621  63.1469 -137.9100
-149.4066  62.1812  -47.7700
-153.3840  59.7001 -127.6800
-148.0737  62.8630  -52.0500
-149.5667  61.8531  -38.3500
-148.6633  62.8449  -70.5700
-149.2130  62.5339  -56.8600
-153.0101  60.0608 -107.2500
-150.5859  63.0635 -121.7900
-150.1554  61.4009  -56.9400
-151.0717  59.8241  -37.2400
-152.5874  60.0164  -84.4500
-152.8010  59.8988  -92.2300
-152.5825  59.4589  -79.0200
-150.0497  61.5736  -43.6500
-152.4929  60.0984  -77.3000
-150.5896  60.7545  -47.1900
-153.2007  60.2162 -137.3600
-152.5977  59.5966  -76.0400
-150.1005  61.8530  -45.3500
-151.1471  62.6545  -95.0400
-152.1707  60.6909  -87.7800
-151.6481  59.6102  -46.3700
-150.9420  61.4609  -55.7300
-152.1865  59.6312  -73.5000
-152.6446  59.4859  -68.8900
-153.7188  59.7242 -134.5500
-150.9083  61.5371  -61.8700
-150.4092  63.2178 -128.2900
-151.6313  60.9425  -65.3800
-150.9011  61.6387  -53.5500
-153.1070  60.1826 -120.1600
-153.2539  60.2030 -129.0400
-151.6992  61.7900  -96.8300
-150.9488  60.2814  -59.3200
-153.3308  59.7845 -113.3800
-150.6589  59.5466  -34.3800
-150.5920  63.1898 -139.4300
-153.3442  60.0561 -136.6600
-152.5587  59.7356  -72.1600
-153.3411  60.2459 -139.0700
-153.1069  59.6938 -100.1900
-151.2665  62.9002 -117.5000
-149.6497  62.4965  -64.8700
-153.4700  59.1657  -92.9000
-153.5044  60.1208 -156.3900
-152.5904  59.4971  -71.5300
-152.8976  60.0632  -97.8100
-152.1953  59.8160  -72.9600
-153.2999  59.8728 -122.9800
-153.1643  59.6922 -113.1200
-152.7330  59.7510  -80.5900
-149.8501  61.5632  -53.8500
-148.7353  63.6838 -107.6100
-152.2234  60.6999  -90.4300
-148.7473  63.2554  -86.3500
-153.3853  59.7833 -125.9600
-151.6702  61.7728  -76.6900
-151.0935  62.4746  -91.1600
-154.3249  59.0012 -134.9300
-149.6706  61.8558  -42.5000
-152.4158  59.9287  -78.9100
-152.1019  61.3537 -114.0200
-152.1228  61.7410 -105.4700
-152.3507  60.5026  -90.7000
-150.8201  62.2843  -76.1500
-149.6911  63.6874 -141.9700
-150.4347  61.8786  -55.6300
-150.7972  63.0786 -128.1100
-152.9975  59.9808 -110.2000
-150.1531  61.4035  -42.2000
-151.3311  61.1378  -70.2300
-152.4534  59.8708  -97.0400
-146.6613  61.4551  -44.6200
-149.4397  62.8313  -73.5800
-150.7414  61.7958  -59.9600
-153.3746  59.7239 -111.0000
-150.7992  63.1916 -139.5100
-151.9344  60.6097  -78.6900
-150.0993  61.8517  -35.8600
-152.9160  59.8608  -92.1200
-150.8348  61.6643  -63.8900
-151.0903  62.1939  -83.5700
-150.7447  63.1688 -138.2600
-148.9640  62.5573  -52.8300
-153.3688  59.8961 -126.2800
-153.4955  60.1430 -144.3300
-147.7314  61.8940  -33.8300
-152.8764  60.1852 -104.3100
-152.5134  60.3593  -93.7000
-149.7199  61.7916  -47.7200
-152.7442  59.7210  -82.4900
-148.8718  62.7517  -64.5400
-150.8948  62.9069 -113.9500
-149.6695  62.5281  -77.7800
-151.8707  60.7403  -70.1300
-148.6771  63.8273 -117.8600
-153.2853  59.8216 -114.1100
-152.6756  60.2585  -99.3500
-153.7660  58.1410  -63.3600
-153.4236  59.8101 -124.4500
-152.0857  59.5200  -63.9300
-146.2917  61.6172  -33.6500
-150.3755  63.1685 -114.2000
-153.1573  60.1675 -111.2500
-153.2917  60.1485 -138.2000
-150.9950  63.0104 -128.8000
-152.3635  60.3554  -80.9700
-149.7883  63.3420 -109.5000
-151.9419  61.7511 -105.6600
-153.1283  59.6731 -111.0800
-152.8991  59.5735  -96.3600
-150.7061  63.0866 -119.6500
-149.8545  61.5754  -37.3600
-151.1351  61.8158  -61.1000
-152.9003  59.5491  -91.6000
-153.2192  60.5818 -157.5200
-153.2239  60.2494 -131.2900
-151.9875  59.4013  -48.2200
-148.0591  62.8454  -50.1400
-148.0278  62.5982  -48.9200
-153.4357  59.8680 -134.5900
-151.9901  61.3959 -100.0400
-153.3728  59.9758 -131.7800
-152.1117  60.5045  -83.4500
-146.0710  61.6228  -34.5600
-152.1175  61.8887 -102.1000
-152.9183  60.0929 -106.5500
-152.7310  58.4947  -55.3300
-150.5051  63.1914 -129.5400
-148.2594  63.0925  -79.9100
-148.3531  63.8138 -111.0500
-150.9910  60.2966  -59.1600
-150.6709  62.9758 -123.0400
-153.6883  60.3464 -189.5500
-149.8394  63.3418 -108.7600
-149.4658  63.2854  -96.7600
-147.7246  63.5429  -75.0900
-150.5968  62.9738 -113.7000
-152.4117  60.2190  -78.8500
-153.3082  59.8405 -119.9400
-153.1807  60.0435 -117.5800
-149.9270  61.7803  -40.6400
-149.4246  63.1067  -94.7500
-149.7732  61.0671  -43.7100
-149.5725  63.2985 -107.9700
-150.4100  62.9306 -102.0800
-153.4019  59.9079 -123.2100
-150.9549  61.9609  -67.0300
-150.5950  62.7079  -94.9500
-149.5347  62.1243  -51.2700
-149.6310  62.1427  -54.9700
-152.8283  60.1387 -103.5200
-150.9469  63.1234 -138.4200
-152.9830  59.2554  -73.4400
-152.9043  59.5645  -93.9400
-152.0719  61.2462 -103.6300
-150.3658  63.1614 -125.3600
-146.5800  61.6677  -31.8000
-150.8634  63.0235 -129.5000
-149.4011  62.7351  -66.8100
-150.8229  61.7338  -55.1500
-152.7523  60.1049  -89.4100
-152.8242  60.0970 -101.3400
-151.2387  62.4981  -95.9300
-148.5846  61.9781  -42.9500
-150.6811  59.0451  -31.3300
-150.6951  61.3656  -52.5400
-150.8271  61.9173  -56.9700
-152.9414  59.3915  -74.9800
-152.9619  60.0572  -99.5700
-153.6548  60.2164 -177.2200
-150.7339  61.9076  -57.9200
-150.4412  63.2115 -129.8000
-148.9669  62.4489  -49.3100
-150.4955  63.2008 -137.6500
-152.8104  60.0194  -90.1100
-152.8865  59.5116  -88.9500
-150.5269  62.8630  -90.7500
-148.8645  62.8152  -68.4100
-150.8027  61.8776  -68.1800
-153.3764  59.9467 -134.9400
-150.9327  60.6911  -43.8400
-151.9290  60.4466  -72.9100
-150.9671  62.8338 -109.2600
-151.9100  60.6153  -74.1500
-152.7875  59.8245  -97.1400
-151.1565  62.5286  -91.1900
-151.9476  59.1405  -46.1600
-152.8335  60.3791 -123.4000
-149.5818  61.7307  -36.2900
-152.9007  60.0737 -100.3500
-151.9193  61.0360 -101.6600
-150.7686  63.0124 -127.2400
-152.6784  60.9847 -128.5500
-152.2358  62.2101 -116.6000
-150.1608  62.8827  -83.9500
-151.0967  62.2410  -82.5600
-149.4904  62.7663  -74.1000
-150.2755  61.8249  -44.0100
-150.2746  61.8216  -45.1000
-151.2482  62.8995 -116.0900
-152.8817  60.0270  -94.5900
-149.7298  63.5807 -133.1700
-152.8887  59.7619  -90.0500
-151.3256  62.6142  -95.1500
-150.4583  62.9250 -109.4200
-152.0826  61.7828 -105.8100
-152.9169  58.2535  -41.5900
-146.3612  61.5577  -27.1300
-150.5868  63.1512 -126.0500
-152.0473  60.7698  -78.1800
-150.0385  61.7720  -44.1100
-149.8770  61.5317  -28.3400
-150.6047  61.5779  -51.0900
-150.5971  62.2455  -70.7100
-151.5743  59.9117  -53.6100
-146.2699  61.6604  -45.1300
-151.7691  60.6975  -73.7700
-152.7298  59.0387  -57.1700
-152.6762  58.6144  -43.5800
-151.0437  62.3673  -97.1700
-151.1757  62.2747  -91.1600
-151.7178  61.4238  -83.6100
-152.4989  59.9092  -81.3400
-152.8357  60.0266 -106.4700
-152.0218  61.9849 -107.9400
-150.8919  60.0823  -43.0000
-149.4365  62.1792  -45.2300
-148.0839  62.9723  -68.3700
-152.4333  59.0455  -56.9200
-153.3331  59.9115 -115.5500
-150.9719  61.6073  -61.6400
-150.9019  62.9918 -116.9900
-153.6239  59.8613 -134.9200
-149.3669  63.1610  -87.9000
-151.3363  60.7912  -59.6500
-148.1915  62.9521  -69.0400
-153.2932  60.1083 -123.2800
-151.1820  61.1582  -58.3900
-149.5676  61.9595  -37.6300
-148.2796  62.8743  -62.6700
-152.5958  60.2460  -87.0200
-152.3276  59.5789  -63.2400
-152.8291  59.4404  -76.8800
-152.9882  60.0905 -107.7900
-150.3538  63.2520 -127.2600
-152.5140  59.4843  -75.5600
-152.2687  60.3591  -87.1900
-153.1991  60.1978 -122.9400
-148.6752  62.6489  -54.8400
-150.5783  63.2233 -138.7000
-152.3147  59.8953  -88.4000
-151.1541  62.5119  -94.0100
-151.1151  59.5947  -42.0900
-152.6854  59.9640  -98.4200
-152.8884  59.0847  -63.9000
-152.5605  59.5762  -69.2600
-152.0215  61.7570 -102.4700
-150.6033  62.7706  -89.8400
-152.8779  59.7621  -99.5100
-150.5864  61.8622  -53.0300
-152.7547  60.0201  -89.7600
-150.5489  62.2168  -64.8900
-151.2989  62.6045 -100.5700
-149.5154  62.1192  -52.1800
-147.8393  61.4204  -33.4300
-153.2263  60.0718 -122.5300
-152.6772  60.0432  -90.0000
-152.0197  61.7979 -102.6600
-152.0458  59.5999  -62.4200
-150.3880  63.1862 -116.3800
-152.7181  59.7083  -92.5800
-153.5199  59.7269 -119.0500
-151.2100  62.5210  -90.3700
-150.6272  63.0748 -132.4600
-151.0830  61.1610  -57.8200
-152.7625  59.4131  -71.9700
-152.9863  60.0684 -101.4500
-153.4444  59.9776 -126.5200
-149.6313  61.1525  -42.4500
-149.5122  62.9572  -78.3400
-152.8093  60.2928  -98.0000
-153.5306  60.0431 -150.0700
-153.7651  59.3003 -116.1500
-153.1358  59.9313 -121.9600
-151.5861  60.2985  -58.6300
-151.8812  59.9380  -62.8500
-150.7013  62.5108  -77.8000
-149.1779  62.3550  -32.1700
-152.3032  59.7416  -87.1300
-150.9034  61.9718  -63.6400
-154.0328  59.0252 -107.7000
-152.6847  60.0948  -99.7500
-152.8883  60.1213 -102.3200
-151.3860  61.6084  -73.0200
-150.7166  59.9097  -42.4300
-148.0447  62.1039  -38.4000
-149.7004  61.7554  -39.3000
-146.3677  61.6299  -35.1700
-151.4951  60.6373  -65.5800
-152.6565  58.9456  -59.6700
-149.8774  61.7018  -38.0700
-150.6225  63.1899 -130.7700
-152.6666  60.1378  -94.6900
-153.2999  60.0678 -124.6900
-152.7328  60.0238 -103.8800
-149.8945  61.5547  -40.9900
-153.4127  60.0306 -143.5300
-146.4483  61.6284  -45.3200
-151.0294  62.6410  -93.9200
-152.4710  59.9792  -69.7600
-150.2649  62.9230  -92.4000
-150.8029  63.0729 -129.7500
-149.3753  63.3647 -104.3900
-151.9342  61.7534 -100.5400
-151.9596  60.3568  -71.9000
-150.4121  61.3198  -49.0900
-153.4015  59.8760 -134.0200
-153.2634  59.5432  -95.0000
-149.6437  63.1646  -98.7100
-152.8480  60.0245  -95.1700
-151.9588  60.0087  -76.7200
-152.0524  60.0440  -64.9600
-149.4926  62.9387  -82.8400
-152.3902  60.6978  -91.3200
-149.0326  62.8076  -64.5800
-151.2121  60.5001  -45.5800
-149.1521  62.5152  -52.6000
-150.4547  63.2183 -135.3500
-150.8215  62.8092  -96.2100
-153.2897  59.9050 -127.2400
-152.7924  60.1656 -101.6600
-152.1395  60.0593  -62.3600
-152.5423  59.7579  -75.3200
-150.6532  61.7405  -62.6800
-151.3911  60.4959  -53.8000
-151.9471  61.9745 -103.9800
-152.8081  59.9370  -95.0200
-150.8385  63.0533 -123.7900
-151.9289  59.8234  -57.0300
-151.2464  61.2896  -61.8300
-150.6805  61.2285  -46.2900
-151.0467  62.3482  -79.6500
-148.9689  63.6258 -100.6300
-153.0682  59.3197  -80.8000
-149.2969  63.1517  -86.8100
-152.3360  59.1123  -56.7900
-151.6313  60.9025  -72.1500
-149.2633  63.3557  -93.2900
-151.0682  62.9098 -126.2900
-152.4101  60.4871  -88.8800
-149.7776  62.1519  -56.4300
-149.6744  62.1396  -49.8100
-151.9351  60.0804  -65.6200
-149.4232  61.4146  -37.4900
-149.6798  62.9989  -80.2600
-152.6653  60.0824  -95.2200
-149.4239  62.9917  -76.1700
-151.6807  60.3729  -59.2000
-150.9880  61.0095  -50.4800
-151.5068  61.5729  -69.9200
-149.8287  61.8568  -52.2100
-153.2152  60.1528 -116.1300
